"","","","Alcohol, recorded per capita (15+) consumption (in litres of pure alcohol)","Alcohol, recorded per capita (15+) consumption (in litres of pure alcohol)","Alcohol, recorded per capita (15+) consumption (in litres of pure alcohol)","Alcohol, recorded per capita (15+) consumption (in litres of pure alcohol)","Alcohol, recorded per capita (15+) consumption (in litres of pure alcohol)","Alcohol, recorded per capita (15+) consumption (in litres of pure alcohol)","Alcohol, recorded per capita (15+) consumption (in litres of pure alcohol)","Alcohol, recorded per capita (15+) consumption (in litres of pure alcohol)","Alcohol, recorded per capita (15+) consumption (in litres of pure alcohol)","Alcohol, recorded per capita (15+) consumption (in litres of pure alcohol)"
"Kyrgyzstan"," Data source"," Other alcoholic beverages","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00"
"Lao People's Democratic Republic"," Data source"," All types","5.25","5.15","5.03","3.71","3.69","3.54","3.43","3.35","3.14","5.19"
"Lao People's Democratic Republic"," Data source"," Beer","2.18","2.04","1.75","1.49","1.41","1.23","1.12","1.02","0.94","0.85"
"Lao People's Democratic Republic"," Data source"," Wine","0.01","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00"
"Lao People's Democratic Republic"," Data source"," Spirits","3.07","3.11","3.28","2.21","2.28","2.32","2.31","2.33","2.19","4.34"
"Lao People's Democratic Republic"," Data source"," Other alcoholic beverages","0","0.00","0.00","0.00","0.00","0.00","0","0","0","0"
"Latvia"," Data source"," All types","9.85","11.84","12.12","10.40","9.92","8.81","8.24","7.44","6.68","7.13"
"Latvia"," Data source"," Beer","4.35","4.12","4.15","4.09","3.80","3.69","2.97","2.74","2.12","1.97"
"Latvia"," Data source"," Wine","1.03","1.13","1.18","1.06","0.94","0.95","1.78","1.50","1.38","1.60"
"Latvia"," Data source"," Spirits","3.94","5.80","5.91","4.48","4.57","3.74","3.33","3.04","3.04","3.45"
"Latvia"," Data source"," Other alcoholic beverages","0.53","0.79","0.88","0.78","0.60","0.43","0.16","0.16","0.14","0.11"
"Lebanon"," Data source"," All types","1.53","1.57","1.59","1.65","1.73","1.87","1.96","2.06","2.32","2.37"
"Lebanon"," Data source"," Beer","0.39","0.39","0.39","0.39","0.41","0.45","0.44","0.44","0.44","0.44"
"Lebanon"," Data source"," Wine","0.24","0.31","0.40","0.49","0.55","0.59","0.61","0.65","0.74","0.79"
"Lebanon"," Data source"," Spirits","0.88","0.85","0.79","0.76","0.75","0.82","0.89","0.96","1.11","1.12"
"Lebanon"," Data source"," Other alcoholic beverages","0.02","0.02","0.02","0.02","0.02","0.02","0.02","0.02","0.02","0.02"
"Lesotho"," Data source"," All types","2.92","2.91","2.85","2.77","1.94","1.78","1.97","2.93","2.85","3.09"
"Lesotho"," Data source"," Beer","1.30","1.32","1.27","1.21","1.24","1.29","1.35","1.46","1.56","1.53"
"Lesotho"," Data source"," Wine","0.01","0.01","0.01","0.00","0","0","0","0","0.04","0.04"
"Lesotho"," Data source"," Spirits","0.54","0.55","0.54","0.53","0.01","0","0","0.35","0.36","0.37"
"Lesotho"," Data source"," Other alcoholic beverages","1.07","1.03","1.03","1.03","0.69","0.49","0.62","1.12","0.89","1.15"
"Liberia"," Data source"," All types","3.76","3.90","4.05","4.06","4.20","4.25","4.23","4.29","4.42","4.47"
"Liberia"," Data source"," Beer","0.34","0.34","0.34","0.30","0.29","0.25","0.15","0.15","0.17","0.17"
"Liberia"," Data source"," Wine","0.01","0.01","0.01","0","0","0","0","0","0","0"
"Liberia"," Data source"," Spirits","3.41","3.55","3.69","3.76","3.90","4.00","4.08","4.14","4.25","4.30"
"Liberia"," Data source"," Other alcoholic beverages","0.00","0.00","0.00","0.00","0","0","0","0","0","0"
"Libya"," Data source"," All types","0.01","0.01","0.01","0.01","0.01","0.01","0.01","0.00","0.00","0.01"
"Libya"," Data source"," Beer","0.01","0.00","0.00","0.01","0.00","0","0","0","0","0"
"Libya"," Data source"," Wine","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00"
"Libya"," Data source"," Spirits","0.01","0.01","0.00","0","0.00","0.01","0.01","0","0","0.01"
"Libya"," Data source"," Other alcoholic beverages","0.00","0.00","0.00","0.00","0","0","0","0","0","0"
"Lithuania"," Data source"," All types","12.97","13.79","13.79","13.34","12.42","12.10","11.29","11.00","10.20","9.87"
"Lithuania"," Data source"," Beer","4.96","4.93","5.04","5.42","5.19","4.62","4.58","4.66","4.00","3.78"
"Lithuania"," Data source"," Wine","1.06","0.99","1.03","1.98","1.63","2.37","2.24","2.06","1.89","2.10"
"Lithuania"," Data source"," Spirits","5.00","5.78","5.76","4.92","4.66","4.31","3.71","3.59","3.67","3.30"
"Lithuania"," Data source"," Other alcoholic beverages","1.96","2.08","1.96","1.01","0.94","0.79","0.76","0.69","0.64","0.69"
"Luxembourg"," Data source"," All types","11.98","11.99","12.27","12.50","12.31","12.34","12.52","12.88","13.10","13.21"
"Luxembourg"," Data source"," Beer","4.30","4.27","4.41","4.57","4.47","4.27","4.36","4.46","4.54","4.74"
"Luxembourg"," Data source"," Wine","5.26","5.28","5.42","5.44","5.39","5.50","5.66","5.83","5.92","5.86"
"Luxembourg"," Data source"," Spirits","2.43","2.44","2.44","2.49","2.45","2.58","2.50","2.59","2.65","2.61"
"Luxembourg"," Data source"," Other alcoholic beverages","0","0","0","0","0","0","0","0","0","0"
"Madagascar"," Data source"," All types","0.83","0.61","0.64","0.59","0.74","0.80","0.83","0.80","1.05","1.17"
"Madagascar"," Data source"," Beer","0.40","0.37","0.38","0.34","0.34","0.36","0.38","0.28","0.41","0.39"
"Madagascar"," Data source"," Wine","0.10","0.10","0.10","0.08","0.07","0.12","0.12","0.12","0.12","0.13"
"Madagascar"," Data source"," Spirits","0.34","0.14","0.16","0.17","0.33","0.32","0.33","0.40","0.52","0.64"
"Madagascar"," Data source"," Other alcoholic beverages","0.00","0.00","0.00","0.00","0","0","0","0","0","0"
"Malawi"," Data source"," All types","1.73","1.90","1.93","1.94","1.45","1.25","1.22","1.25","1.30","1.36"
"Malawi"," Data source"," Beer","0.15","0.14","0.14","0.14","0.14","0.14","0.15","0.15","0.15","0.16"
"Malawi"," Data source"," Wine","0.02","0.15","0.00","0.01","0.01","0.01","0.02","0.01","0.01","0.01"
"Malawi"," Data source"," Spirits","0.20","0.15","0.19","0.22","0.22","0.28","0.24","0.25","0.28","0.29"
"Malawi"," Data source"," Other alcoholic beverages","1.36","1.45","1.60","1.58","1.08","0.81","0.81","0.83","0.86","0.90"
"Malaysia"," Data source"," All types","0.50","0.50","0.46","0.45","0.49","0.51","0.51","0.52","0.52","0.56"
"Malaysia"," Data source"," Beer","0.37","0.38","0.34","0.34","0.38","0.41","0.41","0.41","0.42","0.45"
"Malaysia"," Data source"," Wine","0.03","0.03","0.03","0.02","0.02","0.02","0.02","0.02","0.02","0.02"
"Malaysia"," Data source"," Spirits","0.09","0.09","0.08","0.08","0.08","0.07","0.08","0.08","0.08","0.08"
"Malaysia"," Data source"," Other alcoholic beverages","0.01","0.01","0.01","0.01","0.01","0.01","0.01","0.01","0.01","0.01"
"Maldives"," Data source"," All types","1.41","1.52","1.51","1.41","1.23","1.67","1.95","1.82","1.74","1.99"
"Maldives"," Data source"," Beer","0.39","0.46","0.49","0.47","0.36","0.51","0.44","0.39","0.42","0.48"
"Maldives"," Data source"," Wine","0.31","0.35","0.35","0.28","0.29","0.35","0.33","0.18","0.15","0.15"
"Maldives"," Data source"," Spirits","0.71","0.71","0.67","0.65","0.58","0.82","1.18","1.24","1.17","1.37"
"Maldives"," Data source"," Other alcoholic beverages","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0","0"
"Mali"," Data source"," All types","0.57","0.58","0.56","0.55","0.55","0.55","0.56","0.61","0.60","0.58"
"Mali"," Data source"," Beer","0.07","0.07","0.07","0.06","0.06","0.06","0.06","0.06","0.06","0.06"
"Mali"," Data source"," Wine","0.00","0.00","0.00","0.00","0.00","0.00","0.01","0.05","0.02","0.02"
"Mali"," Data source"," Spirits","0.01","0.02","0.01","0.01","0.00","0.01","0.01","0.01","0.01","0.00"
"Mali"," Data source"," Other alcoholic beverages","0.48","0.49","0.48","0.48","0.48","0.48","0.49","0.49","0.51","0.49"
"Malta"," Data source"," All types","7.10","6.87","7.47","8.25","6.14","6.61","6.54","6.12","5.99","5.94"
"Malta"," Data source"," Beer","2.77","2.77","2.77","2.20","1.75","1.90","1.88","2.67","2.77","2.88"
"Malta"," Data source"," Wine","2.50","2.27","2.80","4.16","2.54","2.54","2.54","1.31","1.13","0.94"
"Malta"," Data source"," Spirits","1.52","1.51","1.58","1.56","1.54","1.85","1.81","1.83","1.78","1.81"
"Malta"," Data source"," Other alcoholic beverages","0.31","0.32","0.33","0.33","0.31","0.31","0.31","0.31","0.31","0.31"
"Mauritania"," Data source"," All types","0.00","0.02","0.02","0.01","0.01","0.01","0.00","0.01","0.01","0.03"
"Mauritania"," Data source"," Beer","0.00","0.00","0.00","0.00","0","0","0","0","0","0"
"Mauritania"," Data source"," Wine","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.01"
"Mauritania"," Data source"," Spirits","0","0.01","0.02","0.01","0.01","0.01","0","0.01","0.01","0.02"
"Mauritania"," Data source"," Other alcoholic beverages","0.00","0.00","0.00","0","0","0","0","0","0","0"
"Mauritius"," Data source"," All types","2.80","2.47","3.23","3.72","3.83","4.10","4.02","3.91","4.31","4.58"
"Mauritius"," Data source"," Beer","1.98","1.56","1.79","1.81","1.96","1.99","2.00","1.92","2.15","2.21"
"Mauritius"," Data source"," Wine","0.24","0.33","0.30","0.28","0.20","0.22","0.22","0.20","0.20","0.27"
"Mauritius"," Data source"," Spirits","0.58","0.56","1.12","1.61","1.66","1.88","1.80","1.79","1.96","2.10"
"Mauritius"," Data source"," Other alcoholic beverages","0.01","0.01","0.02","0.01","0.01","0.02","0.00","0.00","0.00","0.00"
"Mexico"," Data source"," All types","4.37","4.27","4.24","5.20","5.03","5.00","5.01","4.92","5.02","5.16"
"Mexico"," Data source"," Beer","3.83","3.68","3.76","4.01","3.89","3.80","3.77","3.69","3.74","3.76"
"Mexico"," Data source"," Wine","0.19","0.21","0.20","0.09","0.09","0.11","0.11","0.09","0.09","0.09"
"Mexico"," Data source"," Spirits","0.26","0.28","0.23","1.05","1.00","1.05","1.08","1.10","1.15","1.26"
"Mexico"," Data source"," Other alcoholic beverages","0.09","0.10","0.05","0.05","0.05","0.05","0.05","0.05","0.05","0.05"
"Micronesia (Federated States of)"," Data source"," All types","2.05","1.97","1.63","1.73","1.90","2.03","3.16","2.79","2.83","2.23"
"Micronesia (Federated States of)"," Data source"," Beer","1.18","1.02","0.72","0.71","1.49","1.69","3.05","2.69","2.75","2.14"
"Micronesia (Federated States of)"," Data source"," Wine","0.03","0.18","0.14","0.09","0.16","0.19","0.04","0.04","0.02","0.01"
"Micronesia (Federated States of)"," Data source"," Spirits","0.85","0.76","0.77","0.94","0.25","0.14","0.06","0.07","0.07","0.07"
"Micronesia (Federated States of)"," Data source"," Other alcoholic beverages","0","0","0","0","0","0","0","0","0","0"
"Mongolia"," Data source"," All types","6.56","8.92","9.12","4.59","5.17","1.70","1.67","2.41","2.18","2.15"
"Mongolia"," Data source"," Beer","1.11","1.05","0.94","0.41","0.38","0.54","0.55","0.53","0.55","0.67"
"Mongolia"," Data source"," Wine","1.07","0.97","0.80","0.71","0.54","0.64","0.64","0.70","0.65","0.51"
"Mongolia"," Data source"," Spirits","4.38","6.90","7.38","3.47","4.25","0.52","0.48","1.19","0.99","0.97"
"Mongolia"," Data source"," Other alcoholic beverages","0","0","0","0","0","0","0","0","0","0"
"Montenegro"," Data source"," All types","10.17","10.89","9.68","10.38","","","","","",""
"Montenegro"," Data source"," Beer","4.47","5.46","5.26","5.11","","","","","",""
"Montenegro"," Data source"," Wine","3.22","2.92","1.96","2.87","","","","","",""
"Montenegro"," Data source"," Spirits","2.31","2.29","2.25","2.20","","","","","",""
"Montenegro"," Data source"," Other alcoholic beverages","0.18","0.23","0.22","0.21","","","","","",""
"Morocco"," Data source"," All types","0.53","0.50","0.48","0.48","0.46","0.47","0.48","0.46","0.45","0.45"
"Morocco"," Data source"," Beer","0.23","0.24","0.22","0.22","0.23","0.22","0.22","0.24","0.23","0.21"
"Morocco"," Data source"," Wine","0.20","0.17","0.18","0.19","0.17","0.19","0.20","0.18","0.18","0.19"
"Morocco"," Data source"," Spirits","0.10","0.09","0.08","0.07","0.06","0.06","0.06","0.05","0.05","0.04"
"Morocco"," Data source"," Other alcoholic beverages","0","0","0","0","0","0","0","0","0","0"
"Mozambique"," Data source"," All types","0.69","0.74","0.69","0.59","0.60","0.59","0.60","0.66","0.65","0.65"
"Mozambique"," Data source"," Beer","0.57","0.59","0.55","0.51","0.52","0.50","0.46","0.44","0.52","0.54"
"Mozambique"," Data source"," Wine","0.07","0.08","0.09","0.08","0.07","0.07","0.06","0.13","0.07","0.07"
"Mozambique"," Data source"," Spirits","0.05","0.06","0.04","0.00","0.00","0.02","0.02","0.02","0.02","0.02"
"Mozambique"," Data source"," Other alcoholic beverages","0.00","0.00","0.00","0.00","0.00","0.00","0.06","0.07","0.05","0.03"
"Myanmar"," Data source"," All types","0.88","0.79","0.75","0.67","0.63","0.64","0.61","0.14","0.12","0.12"
"Myanmar"," Data source"," Beer","0.14","0.13","0.12","0.12","0.13","0.13","0.13","0.13","0.11","0.10"
"Myanmar"," Data source"," Wine","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00"
"Myanmar"," Data source"," Spirits","0.74","0.66","0.62","0.55","0.50","0.50","0.48","0.01","0.01","0.01"
"Myanmar"," Data source"," Other alcoholic beverages","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00"
"Namibia"," Data source"," All types","1.35","1.01","1.90","1.87","1.97","1.89","2.29","1.99","2.29","2.65"
"Namibia"," Data source"," Beer","1.11","0.77","0.64","0.60","0.60","0.52","0.55","0.73","0.86","0.75"
"Namibia"," Data source"," Wine","0.02","0.03","0.28","0.23","0.11","0.12","0.67","0.29","0.52","0.88"
"Namibia"," Data source"," Spirits","0.07","0.04","0.79","0.80","0.98","0.99","0.82","0.75","0.69","0.80"
"Namibia"," Data source"," Other alcoholic beverages","0.15","0.16","0.20","0.24","0.29","0.25","0.25","0.21","0.22","0.22"
"Nauru"," Data source"," All types","1.84","2.33","2.04","2.01","1.82","2.52","2.32","2.93","2.88","5.52"
"Nauru"," Data source"," Beer","1.69","1.69","1.69","1.68","1.68","1.69","1.70","1.71","2.88","4.18"
"Nauru"," Data source"," Wine","0.04","0.04","0.05","0.04","0.02","0.12","0.09","0.14","0","0"
"Nauru"," Data source"," Spirits","0.12","0.60","0.30","0.30","0.12","0.71","0.54","1.08","0","1.34"
"Nauru"," Data source"," Other alcoholic beverages","0","0","0","0","0","0","0","0","0","0"
"Nepal"," Data source"," All types","0.22","0.20","0.20","0.19","0.22","0.23","0.20","0.19","0.09","0.08"
"Nepal"," Data source"," Beer","0.09","0.08","0.08","0.07","0.08","0.08","0.08","0.08","0.08","0.07"
"Nepal"," Data source"," Wine","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00"
"Nepal"," Data source"," Spirits","0.12","0.12","0.12","0.12","0.14","0.14","0.11","0.11","0.01","0.01"
"Nepal"," Data source"," Other alcoholic beverages","0.00","0.00","0.00","0","0.00","0.00","0.00","0.00","0.00","0"
"Netherlands"," Data source"," All types","9.12","9.51","9.45","9.58","9.50","9.57","9.48","9.72","9.82","10.13"
"Netherlands"," Data source"," Beer","4.42","4.79","4.71","4.86","4.79","4.86","4.88","4.89","4.94","5.08"
"Netherlands"," Data source"," Wine","3.16","3.15","3.16","3.16","3.13","3.03","2.76","2.79","2.78","2.77"
"Netherlands"," Data source"," Spirits","1.54","1.57","1.58","1.57","1.58","1.68","1.84","2.03","2.10","2.28"
"Netherlands"," Data source"," Other alcoholic beverages","0","0","0","0","0","0","0","0","0","0"
"New Zealand"," Data source"," All types","9.24","9.48","9.20","9.36","9.32","9.17","8.92","9.09","8.69","8.83"
"New Zealand"," Data source"," Beer","3.78","4.03","3.94","3.95","4.10","4.11","4.17","4.24","4.17","4.22"
"New Zealand"," Data source"," Wine","3.04","3.04","3.00","3.10","2.99","2.85","2.73","2.74","2.51","2.57"
"New Zealand"," Data source"," Spirits","1.29","1.30","1.17","1.34","1.37","1.45","1.26","1.34","1.29","1.37"
"New Zealand"," Data source"," Other alcoholic beverages","1.14","1.11","1.08","0.96","0.86","0.76","0.76","0.78","0.72","0.68"
"Nicaragua"," Data source"," All types","3.32","3.59","3.77","3.64","3.65","3.75","3.72","3.46","3.48","3.58"
"Nicaragua"," Data source"," Beer","1.30","1.36","1.28","1.17","1.12","1.07","1.08","1.03","1.04","1.04"
"Nicaragua"," Data source"," Wine","0.02","0.02","0.02","0.02","0.02","0.01","0.01","0.01","0.01","0.01"
"Nicaragua"," Data source"," Spirits","2.00","2.21","2.46","2.46","2.51","2.67","2.63","2.42","2.43","2.52"
"Nicaragua"," Data source"," Other alcoholic beverages","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00"
"Niger"," Data source"," All types","0.10","0.11","0.10","0.10","0.10","0.10","0.10","0.09","0.09","0.09"
"Niger"," Data source"," Beer","0.05","0.05","0.05","0.05","0.05","0.05","0.05","0.05","0.06","0.06"
"Niger"," Data source"," Wine","0.01","0.01","0.01","0.01","0.02","0.01","0.01","0.01","0.01","0.01"
"Niger"," Data source"," Spirits","0.04","0.04","0.04","0.04","0.03","0.04","0.03","0.03","0.02","0.02"
"Niger"," Data source"," Other alcoholic beverages","0.00","0.00","0.00","0.00","0","0","0","0","0","0"
"Nigeria"," Data source"," All types","10.58","10.79","11.04","11.18","11.24","11.33","11.33","11.09","11.17","11.47"
"Nigeria"," Data source"," Beer","0.66","0.65","0.65","0.60","0.55","0.52","0.53","0.45","0.45","0.42"
"Nigeria"," Data source"," Wine","0.03","0.06","0.04","0.01","0.01","0.01","0.01","0.00","0.01","0.00"
"Nigeria"," Data source"," Spirits","0.03","0.03","0.06","0.02","0.02","0.01","0.02","0.00","0.02","0.00"
"Nigeria"," Data source"," Other alcoholic beverages","9.86","10.05","10.30","10.54","10.67","10.78","10.78","10.63","10.69","11.04"
"Niue"," Data source"," All types","6.59","9.38","4.68","6.75","6.02","8.11","8.25","5.02","9.35","7.63"
"Niue"," Data source"," Beer","2.80","2.99","1.90","3.62","3.06","4.93","2.23","1.29","2.10","4.13"
"Niue"," Data source"," Wine","0.55","3.14","0.24","0.24","0.09","1.41","0.09","0.96","0.20","0.20"
"Niue"," Data source"," Spirits","3.25","3.26","2.53","2.89","2.88","1.78","5.94","2.76","7.05","3.30"
"Niue"," Data source"," Other alcoholic beverages","0","0","0","0","0","0","0","0","0","0"
"Norway"," Data source"," All types","6.68","6.75","6.60","6.47","6.37","6.22","6.04","5.89","5.49","5.67"
"Norway"," Data source"," Beer","2.96","3.06","3.02","3.01","2.98","2.96","2.76","2.89","2.82","2.93"
"Norway"," Data source"," Wine","2.28","2.23","2.11","2.05","2.00","1.90","1.84","1.81","1.60","1.62"
"Norway"," Data source"," Spirits","1.31","1.33","1.35","1.30","1.28","1.25","1.22","1.12","1.00","1.05"
"Norway"," Data source"," Other alcoholic beverages","0.13","0.13","0.12","0.11","0.11","0.11","0.22","0.07","0.07","0.07"
"Oman"," Data source"," All types","0.50","0.51","0.52","0.54","0.60","0.59","0.55","0.53","0.54","0.38"
"Oman"," Data source"," Beer","0.20","0.21","0.20","0.21","0.21","0.21","0.20","0.23","0.27","0.13"
"Oman"," Data source"," Wine","0.02","0.01","0.01","0.01","0.01","0.01","0.01","0.01","0.01","0.01"
"Oman"," Data source"," Spirits","0.27","0.29","0.30","0.32","0.39","0.38","0.34","0.28","0.26","0.24"
"Oman"," Data source"," Other alcoholic beverages","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00"
"Pakistan"," Data source"," All types","0.04","0.04","0.03","0.03","0.04","0.01","0.01","0.01","0.01","0.01"
"Pakistan"," Data source"," Beer","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00"
"Pakistan"," Data source"," Wine","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00"
"Pakistan"," Data source"," Spirits","0.03","0.03","0.03","0.03","0.03","0.00","0.00","0.00","0.00","0.00"
"Pakistan"," Data source"," Other alcoholic beverages","0.00","0.00","0.00","0.00","0.01","0.01","0.01","0.01","0.01","0.01"
"Panama"," Data source"," All types","6.14","6.00","5.46","5.07","4.90","4.97","4.92","4.94","4.90","5.08"
"Panama"," Data source"," Beer","4.04","3.86","3.48","3.15","2.93","2.94","2.78","2.76","2.81","2.91"
"Panama"," Data source"," Wine","0.23","0.24","0.21","0.18","0.17","0.16","0.14","0.13","0.13","0.12"
"Panama"," Data source"," Spirits","1.86","1.89","1.76","1.73","1.78","1.86","1.99","2.04","1.95","2.04"
"Panama"," Data source"," Other alcoholic beverages","0.01","0.01","0.01","0.01","0.01","0.01","0.01","0.01","0.01","0.01"
"Papua New Guinea"," Data source"," All types","0.78","0.77","0.67","0.61","0.80","0.55","0.56","0.58","0.65","0.67"
"Papua New Guinea"," Data source"," Beer","0.75","0.72","0.64","0.58","0.77","0.53","0.54","0.56","0.60","0.55"
"Papua New Guinea"," Data source"," Wine","0.02","0.02","0.01","0.02","0.02","0.01","0.01","0.01","0.01","0.01"
"Papua New Guinea"," Data source"," Spirits","0.01","0.03","0.02","0.02","0.01","0.01","0.01","0.00","0.04","0.10"
"Papua New Guinea"," Data source"," Other alcoholic beverages","0.00","0.00","0.00","0.00","0","0","0","0","0","0"
"Paraguay"," Data source"," All types","6.06","6.89","6.03","5.92","5.51","5.17","4.49","4.81","5.49","5.64"
"Paraguay"," Data source"," Beer","3.27","3.55","2.98","3.00","2.84","2.63","2.27","2.66","3.08","2.98"
"Paraguay"," Data source"," Wine","1.22","1.69","1.27","1.19","0.94","0.83","0.52","0.44","0.62","0.92"
"Paraguay"," Data source"," Spirits","1.53","1.61","1.74","1.70","1.70","1.68","1.68","1.67","1.75","1.70"
"Paraguay"," Data source"," Other alcoholic beverages","0.03","0.03","0.03","0.03","0.03","0.03","0.03","0.03","0.03","0.03"
"Peru"," Data source"," All types","5.04","4.95","4.51","4.48","4.65","4.54","4.59","3.93","4.09","4.76"
"Peru"," Data source"," Beer","3.07","2.85","2.60","2.33","2.14","1.91","1.77","1.65","1.58","1.85"
"Peru"," Data source"," Wine","0.35","0.43","0.42","0.42","0.41","0.35","0.35","0.32","0.30","0.23"
"Peru"," Data source"," Spirits","1.62","1.66","1.49","1.72","2.10","2.27","2.46","1.95","2.21","2.67"
"Peru"," Data source"," Other alcoholic beverages","0.01","0.01","0.01","0.01","0.01","0.01","0.01","0.01","0.01","0.01"
"Philippines"," Data source"," All types","4.34","4.15","4.14","4.05","4.19","4.42","4.42","4.39","4.53","4.72"
"Philippines"," Data source"," Beer","1.21","1.22","1.18","1.14","1.29","1.35","1.20","1.10","1.12","1.18"
"Philippines"," Data source"," Wine","0.02","0.02","0.01","0.01","0.01","0.01","0.01","0.01","0.01","0.01"
"Philippines"," Data source"," Spirits","3.08","2.90","2.94","2.90","2.89","3.06","3.21","3.28","3.40","3.52"
"Philippines"," Data source"," Other alcoholic beverages","0.03","0.01","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00"
"Poland"," Data source"," All types","10.17","10.80","10.39","9.74","9.07","9.19","9.06","8.02","7.74","8.40"
"Poland"," Data source"," Beer","5.39","5.59","5.55","5.21","4.84","4.66","4.51","4.31","4.08","4.14"
"Poland"," Data source"," Wine","0.99","1.18","1.27","1.30","1.24","1.53","1.64","1.64","1.56","1.78"
"Poland"," Data source"," Spirits","3.78","4.03","3.57","3.22","3.00","3.01","2.90","2.07","2.09","2.48"
"Poland"," Data source"," Other alcoholic beverages","0","0","0","0","0","0","0","0","0","0"
"Portugal"," Data source"," All types","11.50","11.47","11.54","11.81","11.97","12.26","12.22","12.50","12.63","12.77"
"Portugal"," Data source"," Beer","3.04","3.10","3.16","3.21","3.27","3.32","3.22","3.22","3.28","3.45"
"Portugal"," Data source"," Wine","6.46","6.14","5.99","6.26","6.37","6.43","6.49","6.44","6.51","6.52"
"Portugal"," Data source"," Spirits","1.63","1.85","2.01","2.01","2.01","2.13","2.13","2.46","2.46","2.41"
"Portugal"," Data source"," Other alcoholic beverages","0.38","0.38","0.38","0.33","0.33","0.38","0.38","0.38","0.38","0.38"
"Qatar"," Data source"," All types","1.09","1.15","1.16","1.13","1.08","1.00","0.92","0.83","0.75","0.55"
"Qatar"," Data source"," Beer","0.33","0.34","0.36","0.38","0.33","0.25","0.23","0.19","0.13","0.09"
"Qatar"," Data source"," Wine","0.10","0.10","0.10","0.10","0.09","0.09","0.08","0.07","0.06","0.06"
"Qatar"," Data source"," Spirits","0.65","0.71","0.69","0.65","0.66","0.66","0.62","0.57","0.56","0.41"
"Qatar"," Data source"," Other alcoholic beverages","0.01","0.01","0.01","0.01","0.01","0","0","0","0","0"
"Republic of Korea"," Data source"," All types","8.97","9.31","9.05","8.83","9.03","9.18","9.66","9.55","11.45","10.33"
"Republic of Korea"," Data source"," Beer","2.37","2.43","2.34","2.22","1.89","2.25","2.28","2.37","2.33","2.19"
"Republic of Korea"," Data source"," Wine","0.14","0.18","0.19","0.14","0.12","0.06","0.06","0.04","0.03","0.03"
"Republic of Korea"," Data source"," Spirits","0.27","0.33","0.37","0.33","0.34","0.94","0.68","0.67","0.87","0.72"
"Republic of Korea"," Data source"," Other alcoholic beverages","6.19","6.37","6.15","6.14","6.68","5.93","6.64","6.46","8.22","7.39"
"Republic of Moldova"," Data source"," All types","6.24","7.72","7.81","7.94","11.81","7.61","6.27","5.84","6.34","6.76"
"Republic of Moldova"," Data source"," Beer","1.60","1.96","1.92","1.68","1.45","1.27","1.00","0.82","0.62","0.47"
"Republic of Moldova"," Data source"," Wine","2.68","3.07","2.91","2.20","5.11","0.76","0.74","0.76","1.58","2.16"
"Republic of Moldova"," Data source"," Spirits","1.55","2.15","2.55","3.27","3.34","4.94","3.89","3.64","3.51","3.50"
"Republic of Moldova"," Data source"," Other alcoholic beverages","0.41","0.54","0.44","0.79","1.91","0.63","0.63","0.63","0.63","0.63"
"North Macedonia"," Data source"," All types","3.67","4.02","3.84","3.79","4.24","4.98","5.18","4.67","4.40","4.49"
"North Macedonia"," Data source"," Beer","1.70","2.04","2.02","1.98","1.98","2.03","2.03","1.97","1.96","2.12"
"North Macedonia"," Data source"," Wine","1.07","1.07","0.86","0.86","1.46","1.48","1.66","1.19","0.89","0.76"
"North Macedonia"," Data source"," Spirits","0.87","0.89","0.93","0.92","0.78","1.45","1.47","1.48","1.53","1.60"
"North Macedonia"," Data source"," Other alcoholic beverages","0.02","0.02","0.02","0.02","0.02","0.02","0.02","0.02","0.02","0.02"
"Romania"," Data source"," All types","11.01","12.38","11.06","9.89","9.63","11.77","11.55","13.15","12.07","9.00"
"Romania"," Data source"," Beer","5.19","5.74","5.62","4.64","4.08","4.25","3.65","3.40","3.32","3.38"
"Romania"," Data source"," Wine","3.33","3.67","3.43","3.00","2.34","4.30","3.34","3.93","3.74","3.42"
"Romania"," Data source"," Spirits","2.49","2.96","2.01","2.25","3.21","3.23","4.57","5.82","5.01","2.21"
"Romania"," Data source"," Other alcoholic beverages","0","0","0","0","0","0","0","0","0","0"
"Russian Federation"," Data source"," All types","11.25","12.09","12.24","11.83","11.59","11.50","11.32","10.87","10.47","10.21"
"Russian Federation"," Data source"," Beer","4.20","4.66","4.72","4.11","3.66","3.47","3.10","2.92","2.63","2.19"
